sample_id,collector_id,miluska_id,date,year,river,location,r_mile,lat,long,live_dead,sex,stage,total,fork,weight_lbs,weight_g,cohort,first_age,second_age,final_age,scale_age,rps,rpsm,age_afs,skip_spawn,ovary_weight,egg_stage,age_id,comments,,,,,
95,95,3595,6/24/20,2020,Delaware River,Lordville,321,41.868015,-75.214126,live,male,ripe,,419,1.5,680.388,2014,6,,6,5,no,0,5,N,,,,Mark's fish,,,,,
96,96,3596,6/25/20,2020,Delaware River,Long Eddy,315,41.84884,-75.134754,dead,male,ripe,,393,1.2,544.3104,2020,,,,,no,,,,,,,only 1 otolith and it is broken. No scales taken,,,,,
97,97,3597,6/25/20,2020,Delaware River,Long Eddy,315,41.84884,-75.134754,dead,male,ripe,,426,1.4,635.0288,2014,6,,6,5,no,0,5,N,,,,,,,,,
98,98,3598,6/25/20,2020,Delaware River,Long Eddy,315,41.84884,-75.134754,dead,male,ripe,,372,1,453.592,2016,4,,4,4,no,0,4,N,,,,,,,,,
99,99,3599,6/26/20,2020,Delaware River,Lordville,321,41.868015,-75.214126,dead,male,ripe,,412,1.1,498.9512,2015,5,,5,4,no,0,4,N,,,,,,,,,
100,100,3600,6/29/20,2020,Delaware River,Upper Hancock,331,41.949481,-75.28135,live,female,ripe,,462,1.4,635.0288,2012,8,,8,7,yes,2,5,N,,,,,,,,,
101,101,3601,6/29/20,2020,Delaware River,Upper Hancock,331,41.949481,-75.28135,live,female,ripe,,452,1.5,680.388,2016,4,,4,6,no,0,6,N,,,,,,,,,
102,102,3602,6/29/20,2020,Delaware River,Upper Hancock,331,41.949481,-75.28135,dead,female,unknown,,423,1.1,498.9512,2014,6,,6,5,no,0,5,N,,,,,,,,,
103,103,3603,6/26/20,2020,Delaware River,Lordville,321,41.868015,-75.214126,dead,female,unknown,,472,1.4,635.0288,2015,5,,5,,no,,,,,,,"No scales taken, very raunchy",,,,,
104,104,3604,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,379,1,453.592,2015,5,,5,4,no,0,4,N,,,,"no stage, very dead",,,,,
105,105,3605,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,ripe,,401,1.1,498.9512,2016,4,,4,5,no,0,5,N,,,,,,,,,
106,106,3606,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,spent,,422,1.2,544.3104,2015,5,,5,,no,,,,,,,reabsorbing?,,,,,
107,107,3607,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,spent,,482,,0,2015,5,,5,,no,,,,,,,reabsorbing? No weight or scale sample. Very hard to read otoliths,,,,,
108,108,3608,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,346,0.8,362.8736,2017,3,,3,3,no,0,3,N,,,,,,,,,
109,109,3609,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,460,1.5,680.388,2015,5,,5,7,no,,,N,,,,,,,,,
110,110,3610,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,405,1.15,521.6308,2016,4,,4,6,no,0,6,N,,,,,,,,,
111,111,3611,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,411,1.1,498.9512,2015,5,,5,5,no,0,5,N,,,,,,,,,
112,112,3612,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,401,1.05,476.2716,2015,5,,5,5,no,0,5,N,,,,,,,,,
113,113,3613,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,407,1,453.592,2015,5,,5,5,no,0,5,N,,,,,,,,,
114,114,3614,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,413,1.2,544.3104,2016,4,,4,5,no,0,5,N,,,,,,,,,
115,115,3615,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,458,1.7,771.1064,2014,6,,6,6,no,0,6,N,,,,,,,,,
116,116,3616,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,428,1.5,680.388,2014,6,,6,6,yes,1,5,N,,,,,,,,,
117,117,3617,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,439,1.4,635.0288,2015,5,,5,,no,,,,,,,,,,,,
118,118,3618,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,389,1.1,498.9512,2016,4,,4,5,no,0,5,N,,,,,,,,,
119,119,3619,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,412,1.3,589.6696,2015,5,,5,5,no,0,5,N,,,,,,,,,
120,120,3620,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,unknown,,443,1.6,725.7472,2014,6,,6,6,no,0,6,N,,,,,,,,,
121,121,3621,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,,,0,2015,5,,5,,no,,,,,,,"only 1/2 a fish. no scales, weight, length",,,,,
122,122,3622,6/29/20,2020,Delaware River,Lordville,321,41.868015,-75.214126,live,male,ripe,,423,1.5,680.388,2014,6,,6,5,no,0,5,N ,,,,,,,,,
123,123,3623,7/6/20,2020,Delaware River,Lordville,321,41.868015,-75.214126,dead,female,unknown,,433,,0,2014,6,,6,5,no,0,5,N,,,,no weight,,,,,
124,124,3624,7/6/20,2020,Delaware River,Lordville,321,41.868015,-75.214126,dead,male,unknown,,409,,0,2016,4,,4,5,no,0,5,N,,,,no weight,,,,,
125,125,3625,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,spent,,423,1.1,498.9512,2016,4,,4,,no,,,,,,,,,,,,
126,126,3626,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,female,spent,,446,1.4,635.0288,2014,6,,6,,no,,,,,,,,,,,,
127,127,3627,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,417,,0,2015,5,,5,,no,,,,,,,,,,,,
128,128,3628,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,410,1,453.592,2013,7,,7,5,no,0,5,N,,,,,,,,,
129,129,3629,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,393,1.1,498.9512,2015,5,,5,5,no,0,5,N,,,,,,,,,
130,130,3630,6/22/20,2020,Delaware River,Narrowsburgh,290,41.611602,-75.058614,dead,male,unknown,,436,1.2,544.3104,2014,6,,6,5,no,0,5,N,,,,,,,,,
